Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Layers,Service,API's,Web Services,REST,Frameworks,Django,,Presentation layer,Other,Languages and Frameworks,Django,https://vox.sapient.com/docs/DOC-119055,,EU,,1.333333333,Hold,Watch,Out,50,0,Invest,3,Maintain,4,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Frameworks,Restlet,,Business services,Next Generation Platform,Languages and Frameworks,Restlet,https://vox.sapient.com/docs/DOC-119056,,EU,,0.833333333,Hold,Watch,In,50,0,No Opinion,0,Maintain,4,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Frameworks,Jersey,,Business services,Next Generation Platform,Languages and Frameworks,Jersey,https://vox.sapient.com/docs/DOC-119057,,EU,,1,Hold,Watch,Static,50,0,Invest,3,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,REST,Frameworks,RESTEasy,,Business services,Other,Platforms,WildFly (JBoss),https://vox.sapient.com/docs/DOC-119803,,EU,,1.666666667,Watch,Invest,Out,50,0,Hold,1,Maintain,4,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,SOAP,WS-* Specification based,WSDL,,Business services,Other,Platforms,WSDL,https://vox.sapient.com/docs/DOC-119059,,EU,TW-May13-Hold,2,Watch,Exit,Out,50,0,Hold,1,Maintain,4,Maintain,4,Hold,1,Hold,1,,Hold,1,
Tech Stack,Layers,Service,API's,Web Services,SOAP,WS-* Specification based,Windows Communication Foundation,,Business services,Other,Languages and Frameworks,Windows Communication Foundation,https://vox.sapient.com/docs/DOC-119060,,EU,,1.166666667,Hold,Exit,Static,50,0,Hold,1,Hold,1,No Opinion ,0,Hold,1,Maintain,4,,No Opinion,0,
Tech Stack,Layers,Service,API's,Web Services,SOAP,WS-* Specification based,Apache Axis/2,,Business services,Other,Platforms,Apache Axis/2,https://vox.sapient.com/docs/DOC-118589,,EU,,1,Hold,Exit,Out,50,0,Invest,3,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Management,Apigee,,,,Business services,Other,Platforms,Apigee.com,https://vox.sapient.com/docs/DOC-118655,,EU,,0.833333333,Hold,Watch,Static,50,0,Watch,2,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Management,Layer 7,,,,Business services,Other,Platforms,Layer 7,https://vox.sapient.com/docs/DOC-119064,,EU,,2,Watch,Watch,Out,50,0,No Opinion,0,Invest,3,Maintain,4,Maintain,4,Hold,1,,No Opinion,0,
Tech Stack,Layers,Service,API's,Orchestration/Choreography,BPEL,,,,Business services,Other,Languages and Frameworks,BPEL,https://vox.sapient.com/docs/DOC-118658,,EU,,1.833333333,Watch,Exit,Static,50,0,Hold,1,Invest,3,Watch,2,Invest,3,Watch,2,,No Opinion,0,
